artigoEmPeriodico	 	2018	0038-9056	http://dx.doi.org/10.1002/star.201700192	Phosphorylated and cross-linked wheat starches in the presence of polyethylene oxide and their application in biocomposite films	STARCH-STARKE	BRUNI, GRAZIELLA PINHEIRO ; DE OLIVEIRA, JEAN PAULO ; EL HALAL, SHANISE LISIE MELLO ; Flores, Wladimir Hernadez ; GUNDEL, ANDRE ; DE MIRANDA, MARTHA ZAVARIZ ; GUERRA DIAS, ALVARO RENATO ; ROSA ZAVAREZE, ELESSANDRA DA	Qualis nao identificado	STARCH-STARKE
artigoEmPeriodico	 	2018	1983-2400		Sujeito, discurso e identidade de gênero: o olhar como gesto de resistência na Análise de Discurso	Linguagem & Ensino (UCPel)	CASSANA, M. F	B5	LINGUAGEM & ENSINO (UCPEL)
artigoEmPeriodico	 	2018	2175-294X		Eles não sabem o que fazem?: o discurso cínico e ideologia de gênero	INVESTIGAÇÕES (ONLINE)	CASSANA, M. F	Qualis nao identificado	INVESTIGAÇÕES (ONLINE)
artigoEmPeriodico	 	2018	1982-5935		Língua, discurso e gênero: uma análise em contraponto	TRAVESSIAS	CASSANA, M. F	B5	
artigoEmPeriodico	 	2018	2318-5694		Corpo, mídia e identidade de gênero	TRÍADE: COMUNICAÇÃO, CULTURA E MÍDIA	CASSANA, M. F	B4	
artigoEmPeriodico	 	2018	1982-5935		Homossexualidades em discurso: o silêncio como causa do apagamento de grupos sociais	TRAVESSIAS	CASSANA, M. F.; ROSA, B. R. ; BOLZAN, G.	B5	
artigoEmPeriodico	 	2018	2447-6498		A luta de Rigoberta Menchú: a narrativa de testemunho em face da discriminação racial e de gênero	REVISTA INTERDISCIPLINAR EM CULTURA E SOCIEDADE	CASTILLO, C. G. D	C	
artigoEmPeriodico	 	2018	2177-8868		A cultura indígena e os rituais míticos da morte em Maíra, de Darcy Ribeiro	LITTERA ONLINE	CASTILLO, C. G. D	C	
artigoEmPeriodico	 	2018	1809-4163		Las relaciones sociales de poder y su correspondencia con el espacio en La ciudad y los perros, de Mario Vargas Llosa	CADERNOS DE PÓS GRADUAÇÃO EM LETRAS (ONLINE)	CASTILLO, C. G. D	B5	
artigoEmPeriodico	 	2018	2525-3824		Contribuições do PIBID na formação de educadores musicais da UCS	Revista Interdisciplinar de Ciência Aplicada	CERESER, Cristina M. I. ; SILVA, RAFAEL RODRIGUES DA ; PORTO, Patrícia Pereira ; ORTIZ, Luiz	C	REVISTA INTERDISCIPLINAR
artigoEmPeriodico	 	2018	1660-4601	http://dx.doi.org/10.3390/ijerph15102310	Prevalence of Low Back Pain and Dorsalgia and Associated Factors among Casual Dockworkers	International Journal of Environmental Research and Public Health	Cezar-Vaz, Marta Regina ; BONOW, Clarice Alves ; XAVIER, D. M. ; VAZ, JOANA ; CARDOSO, Letícia da Silveira ; MELLO, M. C. V. A. ; COSTA, V. Z. ; SantAnna, Cynthia Fontella	A2	INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH
artigoEmPeriodico	 	2018	2177-2770		A ARTE DA CAPOEIRA COMO MARCA DE ANCESTRALIDADE DA CULTURA AFRICANA E AFRO-BRASILEIRA: PELA EMERGÊNCIA DE UM CURRÍCULO PLURAL A	Revista ABPN	COSTA, A. P. ; VOSS, Dulce Mari da Silva	Qualis nao identificado	Revista ABPN
artigoEmPeriodico	 	2018	2178-5236		Aprendizagem baseada em equipes e jogos pedagógicos no processo ensino-aprendizagem do Sistema Solar	REVISTA EDUCATIVA	COSTA, C. M. ; Marranghello, G F	B2	
artigoEmPeriodico	 	2018	0944-1344	http://dx.doi.org/10.1007/s11356-018-2439-7	Conversion of Eragrostis plana Nees leaves to activated carbon by microwave-assisted pyrolysis for the removal of organic emerging contaminants from aqueous solutions	Environmental Science and Pollution Research	CUNHA, MARIENE R. ; LIMA, EDER C. ; CIMIRRO, NILTON F. G. M. ; THUE, PASCAL S. ; DIAS, SILVIO L. P. ; GELESKY, MARCOS A. ; DOTTO, GUILHERME L. ; DOS REIS, GLAYDSON S. ; PAVAN, FLÁVIO A.	Qualis nao identificado	Environmental Science and Pollution Research
artigoEmPeriodico	 	2018	0882-4010	http://dx.doi.org/10.1016/j.micpath.2018.03.043	Nanoemulsions containing Cymbopogon flexuosus essential oil: Development, characterization, stability study and evaluation of antimicrobial and antibiofilm activities	MICROBIAL PATHOGENESIS	DA SILVA GÜNDEL, SAMANTA ; DE SOUZA, MÁRCIA EBLING ; QUATRIN, PRISCILLA MACIEL ; KLEIN, BRUNA ; WAGNER, ROGER ; GÜNDEL, ANDRÉ ; VAUCHER, RODRIGO DE ALMEIDA ; SANTOS, ROBERTO CHRIST VIANNA ; OURIQUE, ALINE FERREIRA	Qualis nao identificado	MICROBIAL PATHOGENESIS
artigoEmPeriodico	 	2018	1773-2247	http://dx.doi.org/10.1016/j.jddst.2018.05.038	Basil oil-nanoemulsions: Development, cytotoxicity and evaluation of antioxidant and antimicrobial potential	JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY	DA SILVA GÜNDEL, SAMANTA ; VELHO, MAIARA CALLEGARO ; DIEFENTHALER, MARIANNE KERCHE ; FAVARIN, FERNANDA REIS ; COPETTI, PRISCILA MARQUEZAN ; DE OLIVEIRA FOGAÇA, ALINE ; KLEIN, BRUNA ; WAGNER, ROGER ; GÜNDEL, ANDRÉ ; SAGRILLO, MICHELE RORATO ; OURIQUE, ALINE FERREIRA	Qualis nao identificado	JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY
artigoEmPeriodico	 	2018	1383-5718	http://dx.doi.org/10.1016/j.mrgentox.2018.06.003	Evaluation of the genotoxic properties of nickel oxide nanoparticles in vitro and in vivo	MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS	DE CARLI, RAÍNE F. ; CHAVES, DÉBORA DOS S. ; CARDOZO, TATIANE R. ; DE SOUZA, ANA PAULA ; SEEBER, ALLAN ; FLORES, WLADIMIR H. ; HONATEL, KAROL F. ; LEHMANN, MAURICIO ; DIHL, RAFAEL R.	Qualis nao identificado	MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS
artigoEmPeriodico	 	2018	1809-4309	http://dx.doi.org/10.5212/PraxEduc.v.13i3.0010	O Pacto pelo Fortalecimento do Ensino Médio como política de formação continuada de professores	PRÁXIS EDUCATIVA (UEPG. ONLINE)	DIAS, Lisete Funari ; FERREIRA, MAIRA ; MARTINS, Claudete da Silva Lima	A2	
artigoEmPeriodico	 	2018	0101-3335	http://dx.doi.org/10.15448/1984-7726.2018.1.28663	Neurociência cognitiva na sala de aula: estratégias de ensino de Língua Espanhola	Letras de Hoje	DO PINHO, LOUISE SILVA	Qualis nao identificado	Letras de Hoje
artigoEmPeriodico	 	2018	2317-3475		APRENDIZAGEM DE INGLÊS A PARTIR DE EVENTOS COMPLEXOS DE LETRAMENTOS: UMA PERSPECTIVA COMPLEXA SOBRE A MOTIVAÇÃO E AS PRÁTICAS DE LETRAMENTOS	(CON)TEXTOS LINGUÍSTICOS	DUARTE, Gabriela Bohlmann	B2	REVISTA (CON)TEXTOS LINGUÍSTICOS
artigoEmPeriodico	 	2018	2178-5236		Concepções das crianças da pré-escola em relação a fenômenos astronômicos	REVISTA EDUCATIVA	DUMMER, L. M. E. ; Marranghello, G F ; Márcia M. Lucchese	B2	
artigoEmPeriodico	 	2018	2175-7941		Estudo de gráficos da cinemática através do jogo batalha naval e de atividades robóticas	CADERNO BRASILEIRO DE ENSINO DE FÍSICA	DWORAKOWSKI, LUIZ ANTONIO ; HARTMANN, A. M. ; DORNELES, P. F. T.	B2	
artigoEmPeriodico	 	2018	1980-5373	http://dx.doi.org/10.1590/1980-5373-mr-2018-0133	Mass Spectrometry Study of Ammonia Formed During Plasma Nitrocarburizing and Nitriding Processes	MATERIALS RESEARCH	Egert, Paola ; SILVA, HELOISA REGINA TURATTI ; Speller, Carlos Viana ; AMORIM, JAYR DE ; SEEBER, ALLAN	Qualis nao identificado	MATERIALS RESEARCH
