artigoEmPeriodico	 	2018	2594-4576		Geometria analítica no Ensino Superior: uma proposta de ensino híbrido	Revista Educacional Interdisciplinar	CARPES, P.P.G; NUNES, J. F. ; MARQUES, I. L. ; BISOGNIN, E.	B4	REVISTA EDUCACIONAL INTERDISCIPLINAR
artigoEmPeriodico	 	2018	1809-3876	http://dx.doi.org/10.23925/1809-3876.2018v16i3p668-693	DIVERSIDADE E IN/EXCLUSÃO: VOZES E SILÊNCIOS NA FORMAÇÃO DO/A PEDAGOGO/A	REVISTA E-CURRICULUM (PUCSP)	COSTA, J. M.; DALLA CORTE, M. G. ; SILVA, L. G.	A2	
artigoEmPeriodico	 	2018	0022-0396	http://dx.doi.org/10.1016/j.jde.2018.08.017	On the instability of elliptic traveling wave solutions of the modified Camassa-Holm equation	JOURNAL OF DIFFERENTIAL EQUATIONS	DARÓS, ALISSON; ARRUDA, LYNNYNGS KELLY	Qualis nao identificado	JOURNAL OF DIFFERENTIAL EQUATIONS
artigoEmPeriodico	 	2018	2301-1548	http://dx.doi.org/10.31285/AGRO.22.2.2	Estimación del tamaño óptimo de parcela en experimentación con batata dulce	AGROCIENCIA URUGUAY	HUMADA-GONZALEZ, G. G. ; MORAIS, A. R. ; MENDOZA, C. A. C. ; BORTOLINI, J. ; LISKA, GILBERTO RODRIGUES	Qualis nao identificado	AGROCIENCIA URUGUAY
artigoEmPeriodico	 	2018	1809-1636		A APRENDIZAGEM SIGNIFICATIVA EM UM CONTEXTO MATEMÁTICO: ESTUDOS SOBRE O CONCEITO DE ÁREA	VIVÊNCIAS (URI. ERECHIM)	LEÃO, A. S. G.; PESSANO, E. F. C. ; CERETA, A. S. ; BORTOLUZZI, L. R.	B5	
artigoEmPeriodico	 	2018	2179-460X		Nova Abordagem para a Estimativa do Fluxo de Calor no Solo para o Bioma Pampa	CIÊNCIA E NATURA	ROMIO, L. C.; ZIMMER, T. ; ROBERTI, D. R. ; BULIGON, L.	C	
artigoEmPeriodico	 	2018	2179-8087	http://dx.doi.org/10.1590/2179-8087.050816	Biomass and Carbon in a Seasonal Semideciduous Forest in Minas Gerais	FLORAM	SILVA, HELANE FRANÇA ; RIBEIRO, SABINA CERRUTO ; BOTELHO, SORAYA ALVARENGA ; LISKA, GILBERTO RODRIGUES ; CIRILLO, MARCELO ANGELO	Qualis nao identificado	FLORAM
artigoEmPeriodico	 	2018	1518-8221		Argumentação na Abordagem do Pensamento Funcional no Ensino Fundamental: Análise de atividades em um livro didático de matemática	EDUCAÇÃO MATEMÁTICA EM REVISTA-RS	SILVA, J. G ; MAGGIO, D.P ; NEHRING, C. M.	B5	
artigoEmPeriodico	 	2018	2525-7870		'Amutuy, soledad': um estudo das estratégias identitárias na canção de Marcel Berbel	RELACult - Revista Latino-Americana de Estudos em Cultura e Sociedade	SOUZA, N.B	C	RELACULT - REVISTA LATINO-AMERICANA DE ESTUDOS EM CULTURA E SOCIEDADE
artigoEmPeriodico	 	2018	1807-5193		Reviver a tradição, reinventar seus heróis:o discurso do folclore jovem e a cultura popular	Letra Magna (Online)	SOUZA, N.B	Qualis nao identificado	Letra Magna (Online)
artigoEmPeriodico	 	2018	2238-3026		A enunciação tonitruante do discurso de militância em ??Solo le pido a dios?, de León Gieco	ABEHACHE	SOUZA, N.B	Qualis nao identificado	ABEHACHE
artigoEmPeriodico	 	2018	2177-1960		O contradiscurso ou discurso carnavalizado e a infância transgressora da linguagem em Manoel de Barros.	CENÁRIOS: REVISTA DE ESTUDOS DA LINGUAGEM	SOUZA, N.B.; CAMARGOS, M. L. ; GIOVANI, F.	C	
artigoEmPeriodico	 	2018	2237-6844		Reflexões enunciativas acerca do ensino na área de linguagem: entendendo projetos de dizer	POLIFONIA: ESTUDOS DA LINGUAGEM	SOUZA, N.B.; GIOVANI, F.	B3	
artigoEmPeriodico	 	2018	2331-1991	http://dx.doi.org/10.4236/ae.2018.62010	Predatory Potential of <i>Phytoseiulus macropilis</i> (Banks) Preying on <i>Tetranychus urticae</i> Koch (Acari: Phytoseiidae, Tetranychidae)	ADVANCES IN ENTOMOLOGY	SOUZA-PIMENTEL, GISELLE CHRISTIANE ; REIS, PAULO REBELLES ; LISKA, GILBERTO RODRIGUES ; CIRILLO, MARCELO ÂNGELO	Qualis nao identificado	ADVANCES IN ENTOMOLOGY
artigoEmPeriodico	 	2018	2331-1991	http://dx.doi.org/10.4236/ae.2018.62007	Biological Control of Southern Red Mite, Oligonychus ilicis (Acari: Tetranychidae), in Coffee Plants	ADVANCES IN ENTOMOLOGY	TOLEDO, M. A. ; REIS, P. R. ; LISKA, G. R. ; CIRILLO, M. A.	Qualis nao identificado	ADVANCES IN ENTOMOLOGY
artigoEmPeriodico	 	2017	1916-9752	http://dx.doi.org/10.5539/jas.v9n12p88	Fatty Acids Profile of Coffea arabica L. Resistant to Leaf Rust Grown in Two Environments of Minas Gerais, Brazil	Journal of Agricultural Science	FASSIO, L. O. ; MALTA, M. R. ; LISKA, G. R.	Qualis nao identificado	Journal of Agricultural Science
artigoEmPeriodico	 	2017	2316-1795		O dado singular que ilumina o percurso: uma análise indiciária da elaboração didática de oficinas de linguagem com base nos gêneros discursivos	Diálogo das Letras	GIOVANI, F. ; SOUZA, N.B.	B1	DIÁLOGO DAS LETRAS
artigoEmPeriodico	 	2017	2518-8380		Aplicação da técnica Bootstrap na estimação do tamanho ótimo de parcela em experimento com soja	Tecnología Agraria	GONZALEZ, G. G. H. ; MORAIS, A. R. ; BRUZI, T. A. ; LISKA, G.R. ; REIS, C. J. ; BORTOLINI, J. ; SOSA, J. R. H.	Qualis nao identificado	Tecnología Agraria
artigoEmPeriodico	 	2017	2278-5728		Monte Carlo Evaluation of Classification Algorithms Based on Fisher's Linear Function in Classification of Patients With CHD	IOSR Journal of Mathematics	LISKA, G. J. R. ; LISKA, G. R. ; HUMADA-GONZALEZ, G. G. ; BORTOLINI, J. ; REIS, C. J.	Qualis nao identificado	IOSR Journal of Mathematics
artigoEmPeriodico	 	2017	2278-5728	http://dx.doi.org/10.9790/5728-130104104109	Monte Carlo Evaluation of Classification Algorithms Based on Fisher's Linear Function in Classification of Patients With CHD	IOSR Journal of Mathematics	LISKA, G.R	Qualis nao identificado	IOSR Journal of Mathematics
artigoEmPeriodico	 	2017	0957-4174	http://dx.doi.org/10.1016/j.eswa.2016.08.014	Data classification with binary response through the Boosting algorithm and logistic regression	EXPERT SYSTEMS WITH APPLICATIONS	MENEZES, F. S. ; LISKA, G. R. ; CIRILLO, M. A. ; VIVANCO, M. J. F.	A2	
artigoEmPeriodico	 	2017	1916-9760	http://dx.doi.org/10.5539/jas.v9n9p78	Sensory Profile and Chemical Composition of Specialty Coffees from Matas de Minas Gerais, Brazil	Journal of Agricultural Science	PEREIRA, R. G. F. A. ; FASSIO, L. O. ; LISKA, G.R. ; MALTA, M. R.	Qualis nao identificado	Journal of Agricultural Science
artigoEmPeriodico	 	2017	2454-1850	http://dx.doi.org/10.25125/agriculture-journal-IJOEAR-NOV-2017-17	Interspecific Interaction Between Phytoseiulus macropilis and Neoseiulus californicus (Acari: Phytoseiidae) Preying on Tetranychus urticae (Acari: Tetranychidae) on Rosebush Growing in Greenhouse	International Journal of Environmental and Agriculture Research	PIMENTEL, G. C. S. ; REIS, P. R. ; LISKA, G.R. ; CIRILLO, M. A.	Qualis nao identificado	International Journal of Environmental and Agriculture Research
artigoEmPeriodico	 	2017	2518-8380		Precipitações máximas esperadas em Mariscal Estigarribia, Paraguai, via distribuição Gumbel	Tecnologia Agrária	REIS, C. J. ; GONZALEZ, G. G. H. ; LISKA, G. R. ; BORTOLINI, J. ; HUMADA SOSA, J. R. ; BEIJO, L. A. ; CHAVES, L. M. ; BALBUENA, J. G.	Qualis nao identificado	Tecnologia Agrária
artigoEmPeriodico	 	2017	1538-9472	http://dx.doi.org/10.22237/jmasm/1493597820	Methodology for constructing perceptual maps incorporating measuring error in sensory acceptance tests	JOURNAL OF MODERN APPLIED STATISTICAL METHODS	SANTOS, E. N. F. ; LISKA, G. R. ; CIRILLO, M. A.	Qualis nao identificado	JOURNAL OF MODERN APPLIED STATISTICAL METHODS
artigoEmPeriodico	 	2017	2238-8060	http://dx.doi.org/10.18468/letras.2017v7n3.p341-361	'Dureza: a única máscara possível' - Um estudo de Vidas Secas, de Graciliano Ramos	LETRAS ESCREVE	SOUZA, N.B	Qualis nao identificado	LETRAS ESCREVE
artigoEmPeriodico	 	2017	1807-9717		As metacanções e a acumulação de sentidos sobre o ato de cantar na canção folclórica argentina	MEMENTO (TRÊS CORAÇÕES)	SOUZA, N.B	Qualis nao identificado	MEMENTO (TRÊS CORAÇÕES)
