artigoEmPeriodico	Analia Del Valle Garnero	2018	1993-078X	http://dx.doi.org/10.3897/compcytogen.v12i1.22344	Multidirectional chromosome painting in Synallaxis frontalis (Passeriformes, Furnariidae) reveals high chromosomal reorganization, involving fissions and inversions	COMPARATIVE CYTOGENETICS	KRETSCHMER, RAFAEL ; DE LIMA, VANUSA LILIAN CAMARGO ; DE SOUZA, MARCELO SANTOS ; COSTA, ALICE LEMOS ; O?BRIEN, PATRICIA C. M. ; FERGUSON-SMITH, MALCOLM A. ; DE OLIVEIRA, EDIVALDO HERCULANO CORRÊA ; GUNSKI, Ricardo José ; Garnero, Analía del Valle	Qualis nao identificado	COMPARATIVE CYTOGENETICS
artigoEmPeriodico	Analia Del Valle Garnero	2018	1993-078X	http://dx.doi.org/10.3897/compcytogen.v12i2.23883	Karyotype description and comparative analysis in Ringed Kingfisher and Green Kingfisher (Coraciiformes, Alcedinidae)	COMPARATIVE CYTOGENETICS	DEGRANDI, TIAGO MARAFIGA ; DE OLIVEIRA, JEAN CARLO PEDROSO ; DE ARAÚJO SOARES, AMANDA ; LEDESMA, Mario Angel ; HASS, IRIS ; Garnero, Analía del Valle ; GUNSKI, Ricardo José	Qualis nao identificado	COMPARATIVE CYTOGENETICS
artigoEmPeriodico	Analia Del Valle Garnero	2018	0967-3849	http://dx.doi.org/10.1007/s10577-018-9580-5	Comparative chromosome painting in Columbidae (Columbiformes) reinforces divergence in Passerea and Columbea	CHROMOSOME RESEARCH	KRETSCHMER, RAFAEL ; DE OLIVEIRA FURO, IVANETE ; GUNSKI, Ricardo José ; DEL VALLE GARNERO, ANALÍA ; PEREIRA, JORGE C. ; O?BRIEN, PATRICIA C. M. ; FERGUSON-SMITH, MALCOLM A. ; DE OLIVEIRA, EDIVALDO HERCULANO CORRÊA ; DE FREITAS, THALES RENATO OCHOTORENA	Qualis nao identificado	CHROMOSOME RESEARCH
artigoEmPeriodico	Analia Del Valle Garnero	2018	2073-4425	http://dx.doi.org/10.3390/genes9100491	Chromosome Painting in Neotropical Long- and Short-Tailed Parrots (Aves, Psittaciformes): Phylogeny and Proposal for a Putative Ancestral Karyotype for Tribe Arini	Genes	DE OLIVEIRA FURO, IVANETE ; KRETSCHMER, RAFAEL ; O?BRIEN, PATRÍCIA C. M. ; PEREIRA, JORGE C. ; DEL VALLE GARNERO, ANALÍA ; GUNSKI, RICARDO J. ; FERGUSON-SMITH, MALCOLM A. ; DE OLIVEIRA, EDIVALDO HERCULANO CORRÊA	Qualis nao identificado	Genes
artigoEmPeriodico	Analia Del Valle Garnero	2018	1678-4685	http://dx.doi.org/10.1590/1678-4685-gmb-2017-0367	Chromosomal polymorphism and comparative chromosome painting in the rufous-collared sparrow (Zonotrichia capensis)	GENETICS AND MOLECULAR BIOLOGY (ONLINE VERSION)	BÜLAU, SANDRA ELOISA ; KRETSCHMER, RAFAEL ; GUNSKI, Ricardo José ; Garnero, Analía del Valle ; O?BRIEN, PATRICIA C. M. ; FERGUSON-SMITH, MALCOLM A. ; OLIVEIRA, EDIVALDO HERCULANO CORREA DE ; FREITAS, THALES RENATO OCHOTORENA DE	Qualis nao identificado	GENETICS AND MOLECULAR BIOLOGY (ONLINE VERSION)
artigoEmPeriodico	Analia Del Valle Garnero	2018	1573-6849	http://dx.doi.org/10.1007/s10577-018-9592-1	Distribution of CR1-like transposable element in woodpeckers (Aves Piciformes): Z sex chromosomes can act as a refuge for transposable elements	Chromosome Research	BERTOCCHI, NATASHA AVILA ; DE OLIVEIRA, THAYS DUARTE ; DEL VALLE GARNERO, ANALÍA ; COAN, RAFAEL LUIZ BUOGO ; GUNSKI, Ricardo José ; MARTINS, CESAR ; TORRES, FABIANO PIMENTEL	Qualis nao identificado	Chromosome Research
artigoEmPeriodico	Analia Del Valle Garnero	2017	1932-6203	http://dx.doi.org/10.1371/journal.pone.0169987	Genomic Organization of Repetitive DNA in Woodpeckers (Aves, Piciformes): Implications for Karyotype and ZW Sex Chromosome Differentiation	Plos One	DE OLIVEIRA, THAYS DUARTE ; KRETSCHMER, RAFAEL ; BERTOCCHI, NATASHA AVILA ; DEGRANDI, TIAGO MARAFIGA ; DE OLIVEIRA, EDIVALDO HERCULANO CORRÊA ; CIOFFI, MARCELO DE BELLO ; Garnero, Analía del Valle ; GUNSKI, Ricardo José	Qualis nao identificado	Plos One
artigoEmPeriodico	Analia Del Valle Garnero	2017	1759-8753	http://dx.doi.org/10.1186/s13100-017-0094-z	Evolutionary history of the mariner element galluhop in avian genomes	Mobile DNA	BERTOCCHI, NATASHA AVILA ; TORRES, FABIANO PIMENTEL ; Garnero, Analía del Valle ; GUNSKI, Ricardo José ; WALLAU, GABRIEL LUZ	Qualis nao identificado	Mobile DNA
artigoEmPeriodico	Analia Del Valle Garnero	2017	1993-078X	http://dx.doi.org/10.3897/compcytogen.v11i3.13795	Multiple sex chromosome system in penguins (Pygoscelis, Spheniscidae)	COMPARATIVE CYTOGENETICS	GUNSKI, Ricardo José ; DELGADO CAÑEDO, ANDRÉS ; DEL VALLE GARNERO, ANALÍA ; LEDESMA, Mario Angel ; CORIA, NESTOR ; MONTALTI, DIEGO ; DEGRANDI, TIAGO MARAFIGA	Qualis nao identificado	COMPARATIVE CYTOGENETICS
artigoEmPeriodico	Analia Del Valle Garnero	0	1424-8581	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1159/000129708&md5=0b6845b752050924641c824bf2dd2ef1	Chromosome Painting in Trogon s. surrucura (Aves, Trogoniformes) Reveals a Karyotype Derived by Chromosomal Fissions, Fusions, and Inversions	CYTOGENETIC AND GENOME RESEARCH	DEGRANDI, TIAGO M. ; DEL VALLE GARNERO, ANALÍA ; O'BRIEN, PATRICIA C.M. ; FERGUSON-SMITH, MALCOLM A. ; KRETSCHMER, RAFAEL ; DE OLIVEIRA, EDIVALDO H.C. ; GUNSKI, RICARDO J.	Qualis nao identificado	CYTOGENETIC AND GENOME RESEARCH
