artigoEmPeriodico	 	2018	1809-3264		PORTFÓLIO: UMA ANÁLISE ACERCA DAS CONCEPÇÕES TEÓRICAS	Revista Querubim (Online)	MENA, L. P. ; BIERHALZ, Crisna Daniela K.	B3	REVISTA QUERUBIM (ONLINE)
artigoEmPeriodico	 	2018	1579-1513		Tendências do ensino e aprendizagem de forças intermoleculares a partir da análise de publicações em periódicos nacionais e internacionais	REEC. REVISTA ELECTRÓNICA DE ENSEÑANZA DE LAS CIENCIAS	MIRANDA, A. C. G. ; BRAIBANTE, M. E. F. ; PAZINATO, M. S.	A2	
artigoEmPeriodico	 	2018	1579-1513		Trends in teaching and learning of the intermolecular forces from the analysis of publications in national and international journals.	REEC. REVISTA ELECTRÓNICA DE ENSEÑANZA DE LAS CIENCIAS	MIRANDA, A. C. G.; BRAIBANTE.M.E.F ; PAZINATO, M. S.	A2	
artigoEmPeriodico	 	2018	0124-5481		Methodology of Trees and concept maps: paths that integrate and articulate Environmental Education and Science Teaching	REVISTA DE EDUCACION DE LAS CIENCIAS	MOURA, A. C. de O. S. de ; CICUTO, C. A. T. ; MONTEIRO, A. F. ; ANCINI, A. C. ; GONÇ ; BATISTA, Z. G. ; ROSA, S. M.	A2	
artigoEmPeriodico	 	2018	2457-0591	http://dx.doi.org/10.9734/jeai/2018/43650	Antioxidant Capacity in Leaf and Root Tissues of Prunus spp under Flooding	Journal of Experimental Agriculture International	RADMANN, ELIZETE BEATRIZ; KLUMB, ELSA KUHN ; DEUNER, SIDNEI ; BIANCHI, VALMOR JOÃO	Qualis nao identificado	Journal of Experimental Agriculture International
artigoEmPeriodico	 	2018	2447-6099		Medicamentos: uma abordagem intredisciplinar para o Ensino Fundamental	REVISTA DEBATES EM ENSINO DE QUÍMICA	SILVA, L. G. ; FERREIRA, V. E. M. ; BIERHALZ, Crisna Daniela K.	B5	
artigoEmPeriodico	 	2018	1477-0520	http://dx.doi.org/10.1039/c8ob00451j	Diselenoamino acid derivatives as GPx mimics and as substrates of TrxR: <i>in vitro</i> and <i>in silico</i> studies	ORGANIC & BIOMOLECULAR CHEMISTRY	Sudati, Jéssie Haigert; NOGARA, PABLO ANDREI ; SARAIVA, ROGÉRIO AQUINO ; Wagner, Caroline ; ALBERTO, EDUARDO ELIEZER ; BRAGA, ANTONIO LUIZ ; Fachinetto, Roselei ; PIQUINI, PAULO CESAR ; Rocha, João Batista Teixeira	Qualis nao identificado	ORGANIC & BIOMOLECULAR CHEMISTRY
artigoEmPeriodico	 	2018	2526-1126		Projeto ?seu coração já disparou hoje??: emoções associadas aos hormônios noradrenalina e adrenalina	Revista Brasileira de Educação Básica	TAROUCO, A. R. ; MAIA, A. F. ; MOREIRA, M. A. A. ; BIERHALZ, Crisna Daniela K.	A1	REVISTA BRASILEIRA DE EDUCAÇÃO
artigoEmPeriodico	 	2018	2447-6099		Concepções de estudantes do Ensino Médio sobre Tabela Periódica	REVISTA DEBATES EM ENSINO DE QUÍMICA	VIANNA, N. S. ; CICUTO, C. A. T. ; PAZINATO, M. S.	B5	
artigoEmPeriodico	 	2018	1809-3264		Gestão de práticas sustentáveis: uma experiência na educação do campo	Revista Querubim (Online)	VIEIRA, R. M. R. ; DUSO, L. ; MOURA, A. C. de O. S. de ; FERNANDES, V. F. ; CICUTO, C. A. T.	B3	REVISTA QUERUBIM (ONLINE)
